264417	96	00:10:55	30.04.2023 02:58
319558	0.2.	01:00:38	30.04.2023 03:14
264417	73	00:08:40	30.04.2023 03:27
264417	99	00:11:20	30.04.2023 03:41
264417	69	00:08:17	30.04.2023 03:56
264417	83	00:09:28	30.04.2023 04:10
264417	102.	00:11:59	30.04.2023 04:25
319558	0.14	00:41:13	30.04.2023 04:38
264417	66	00:07:44	30.04.2023 04:53
264417	69	00:08:11	30.04.2023 05:06
264417	63	00:07:22.	30.04.2023 05:21
319558	0.16	00:48:22.	30.04.2023 05:34
264417	F-‘F	00:09:42.	30.04.2023 05:48
264417	63	00:07:31	30.04.2023 06:02
264417	69	00:08:26	30.04.2023 06:15
264417	53	00:06:14	30.04.2023 06:31
319558	0.17	00:50:16	30.04.2023 06:45
264417	119	00:13:40	30.04.2023 06:59
264417	83	00:09:21	30.04.2023 07:16
264417	83	00:09:27	30.04.2023 07:28
264417	F-‘F	00:09:50	30.04.2023 07:41
319558	0.09	00:26:04	30.04.2023 07:59
264417	92.	00:10:31	30.04.2023 08:02
264417	63	00:07:19	30.04.2023 08:16
264417	46	00:05:28	30.04.2023 08:26
319558	0.15	00:44:16	30.04.2023 08:32
264417	50	00:05:48	30.04.2023 08:36
264417	106	00:12:05	30.04.2023 08:46
264417	132.	00:15:26	30.04.2023 09:00
264417	125	00:14:25	30.04.2023 09:22
319558	0.31	01:31:01	30.04.2023 09:24
264417	99	00:11:36	30.04.2023 09:40
264417	56	00:06:49	30.04.2023 09:54
264417	142.	00:16:42.	30.04.2023 10:05
264417	56	00:06:36	30.04.2023 10:28
264417	109	00:12:39	30.04.2023 10:38
264417	59	00:06:55	30.04.2023 10:53
264417	102.	00:12:00	30.04.2023 11:08
319558	0.29	01:27:08	30.04.2023 11:24
264417	53	00:06:26	30.04.2023 11:37
264417	50	00:06:03	30.04.2023 11:53
264417	96	00:11:09	30.04.2023 12:07
264417	56	00:06:44	30.04.2023 12:22
264417	40	00:04:55	30.04.2023 12:36
264417	F-‘F	00:09:44	30.04.2023 12:56
319558		00:48:01	30.04.2023 13:08
264417	66	00:07:49	30.04.2023 13:21
264417	106	00:06:12.	30.04.2023 13:36
264417	53	00:06:20	30.04.2023 13:51
264417	56	00:06:39	30.04.2023 14:05
319558	0.34	01:40:33	30.04.2023 14:24
264417	5:1;	00:10:23	30.04.2023 14:38
264417	122.	00:14:04	30.04.2023 14:55
264417	43	00:05:04	30.04.2023 15:15
264417	83	00:09:19	30.04.2023 15:24
264417		00:05:41	30.04.2023 15:39
319558	0.42.	02:03:27	30.04.2023 16:25
